Marca temporal,Lugar y fecha,Nombre de la empresa:,Giro,Dirección,Teléfono,Correo electrónico,1. ¿Cuenta con los servicios de un contador público?,2. ¿ Qué tan importante considera contratar los servicios de un contador público?,3. ¿Cuál es el estado laboral? ,4. ¿Cómo visualiza su periodo económico en cuanto a inversión y capital? ,5. ¿Cuál es su expectativa en cuanto al futuro próximo?,6. ¿Qué retos y problemas espera enfrentar?,7. ¿Cuáles son sus probabilidades de contratación?,"8. Número de Personal por puesto que contrataría. 
(Seleccione por cada área de conocimiento el número de personal que contraría, en caso de no contratar marque ""0"".) [Administración  y recursos Humanos]","8. Número de Personal por puesto que contrataría. 
(Seleccione por cada área de conocimiento el número de personal que contraría, en caso de no contratar marque ""0"".) [Contabilidad y Finanzas]","8. Número de Personal por puesto que contrataría. 
(Seleccione por cada área de conocimiento el número de personal que contraría, en caso de no contratar marque ""0"".) [Producción]","8. Número de Personal por puesto que contrataría. 
(Seleccione por cada área de conocimiento el número de personal que contraría, en caso de no contratar marque ""0"".) [Ventas y Marketing]","8. Número de Personal por puesto que contrataría. 
(Seleccione por cada área de conocimiento el número de personal que contraría, en caso de no contratar marque ""0"".) [Otro]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Educación Inicial]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Educación primaria]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Educación secundaria]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Educación media superior]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Educación superior  nivel Técnico]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Maestría]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Doctorado]","9. Número de Personal por nivel educativo que contraría.
(Seleccione por cada nivel educativo el número de personal que contraría, en caso de no contratar marque ""0"".) [Otro]",10. Habilidades y actitudes del TSU en Contaduría Pública. [Comunicación oral y escrita],10. Habilidades y actitudes del TSU en Contaduría Pública. [Capacidad para el trabajo en equipo],10. Habilidades y actitudes del TSU en Contaduría Pública. [Facilidad para relacionarse],10. Habilidades y actitudes del TSU en Contaduría Pública. [Habilidad para tomar de decisiones],10. Habilidades y actitudes del TSU en Contaduría Pública. [Capacidad de Liderazgo],10. Habilidades y actitudes del TSU en Contaduría Pública. [Organización],10. Habilidades y actitudes del TSU en Contaduría Pública. [Compromiso],10. Habilidades y actitudes del TSU en Contaduría Pública. [Uso de la tecnología para resolver problemas],10. Habilidades y actitudes del TSU en Contaduría Pública. [Análisis e interpretación de de información financiera],10. Habilidades y actitudes del TSU en Contaduría Pública. [Perspectica de leyes y normas contables],10. Habilidades y actitudes del TSU en Contaduría Pública. [Otro],11. ¿Utiliza un software para llevar su contabilidad empresarial? ,11.a. ¿Que software utiliza?,12. ¿Tiene la disposición de participar con la Universidad Tecnológica de la Sierra Sur de Oaxaca para captar egresados en TSU en Contaduría?.,12.a. ¿Por qué?,13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Puesto desempeñado],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Supervisor del área de contabilidad],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Coordinador de controlaría interna],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Coordinador de auditoria],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Coordinador en el area de finanzas],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Coordinador de costos],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Asesor fiscal y  contable],13. Número de empleos que la organización piensa crear durante los siguientes 3 años  con la especialidad en TSU en Contaduría.  [Coordinador de administración de personal],"14. Marque con las Profesiones, oficios y/o actividades que se requieren por nivel de TSU en Contaduría. ",15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Manejo de libros contables],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Elaboración y control de estados financieros],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Cumplimiento de obligaciones fiscales],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Transacciones contables],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Proporcionar Asesoría],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Informes financieros],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Auditorías a empresas o particulares],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Elaborar inventarios],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Utilizar un software],15. Seleccione la función y la frecuencia expresada en número sobre la realización de funciones en la organizaciones.   [Elaborar informe tributario]
1/31/2023 20:00:37,Villa Sola de Vega a 31 de enero del 2023,Regalos FIESTA ,Venta de regalos y productos de temporada ,Independencia esq. Fco. I. Madero ,2218639653, liazoefiesta@gmail.com,No,Poco importante,a) Empleado autónomo independiente.,3.Crecerá su capital más del 20%,3. Muy positivo,1.Competencia en los servicios,1. Contratará personas especializadas en contaduría Pública,0,1,0,1,2,0,0,1,2,1,0,0,0,.,.,.,.,.,.,.,.,,.,.,Sí,Eleventa,Sí,"Porque son jóvenes que conocen el medio social, económico de esta comunidad como mínimo,  lo que duró su preparación académica. ",,,,,,,Educación superior nivel Técnico,Educación superior nivel Técnico,"Supervisor del área de contabilidad, Coordinador de auditoria, Asesor fiscal y  contable, Coordinador de administración de personal",3,3,3,3,4,4,2,3,4,4
2/1/2023 9:20:48,SAN GABRIEL MIXTEPEC (01/02/2023),LABORATORIO DE ANALISIS CLINICOS DEL CARMEN,LABORATORIO MEDICO Y DE DIAGNOSTICOD PERTENECIENTE AL SECTOR PRIVADL,"CORREGIDORA S/N
SAN GABRIEL MIXTEPEC",9541193559,ines_jimenez_79@hotmail.com,Sí,Muy importante,a) Empleado autónomo independiente.,4. Crecerá su capital entre un 10-20%,2. Más o menos positivo,1.Competencia en los servicios,2. Contratará personal administrativo,1,1,1,1,,,,,1,1,,,,.,.,.,.,.,.,.,,,.,,No,,Sí,,,Educación superior nivel Técnico,Educación superior nivel Técnico,,,Educación superior nivel Técnico,Educación superior nivel Técnico,,"Cooordinador de contraloría interna, Coordinador de costos, Asesor fiscal y  contable",1,1,1,,,1,,1,1,1
2/1/2023 12:27:24,Villa sola de Vega 01/02/23,Cremería Juquilita ,Alimentos ,Zaragoza s/n barrio la soledad villa sola de Vega ,9513226189,riosrodriguezantoniodejesus@gmail.com,No,Importante,,1.Tenderá a crecer,3. Muy positivo,1.Competencia en los servicios,1. Contratará personas especializadas en contaduría Pública,0,1,0,1,0,0,0,0,1,1,0,0,0,,,,,,,.,,,,,No,,Sí,Sería una muy buena opción de que los jóvenes nos apoyen con sus conocimientos ,,,,,,,,,Asesor fiscal y  contable,,,,,,,,,,
2/1/2023 17:32:49,"San Miguel Mixtepec, Zimatlán, Oaxaca a 01 de febrero de 2023","Abarrotes ""La Carmelita""",Venta de productos de la canasta básica ,Morelos S/N,9514881456,,No,De regular importancia,a) Empleado autónomo independiente.,1.Tenderá a crecer,4. No sabe,1.Competencia en los servicios,2. Contratará personal administrativo,1,1,0,0,,,,,1,,,,,,,,.,.,.,,,.,.,,No,,Sí,Porque sería una muy buena opción para mi negocio ,,Educación superior nivel Técnico,,,Educación superior nivel Técnico,,,Educación superior nivel Técnico,"Supervisor del área de contabilidad, Coordinador en el área de finanzas, Asesor fiscal y  contable",1,1,1,2,2,2,1,1,1,1
2/1/2023 17:47:33,San Pedro juchatengo  juq oaxaca  1 -2 -23,Comedor los cazadorez ,,Carretera oaxaca puerto escondido km 132 cp 71920,9545865047,Cazadorezcortes@outlook.com,Sí,Muy importante,,1.Tenderá a crecer,3. Muy positivo,1.Competencia en los servicios,2. Contratará personal administrativo,,,,,0,,,,,,,,0,,.,,,,,,,,,,,,,,,,,,,,,Educación Inicial,Asesor fiscal y  contable,,,1,,,,,,,
2/1/2023 17:52:11,Sn Pedro juchatengo  1/02/23,Depósito la nueva luz ,,San Pedro juchatengo ,9542113246,Pacoe_@hotmail.com,Sí,Importante,a) Empleado autónomo independiente.,1.Tenderá a crecer,3. Muy positivo,1.Competencia en los servicios,2. Contratará personal administrativo,1,1,2,Más de 5,,0,,3,3,2,,,,,.,,,,.,.,.,.,.,,Sí,,Sí,Para compartir conocimientos y estadísticas ,,,,,Educación superior nivel Técnico,,Educación superior nivel Técnico,Educación superior nivel Técnico,"Supervisor del área de contabilidad, Coordinador en el área de finanzas, Coordinador de administración de personal",,2,2,1,2,,,2,2,
2/1/2023 20:08:06,"San Pedro Juchatengo, Oaxaca a 01 de febrero",Depósito Mendoza ,Bar,"Fray Bartolomé de las casas 49, San Pedro Juchatengo ",9514396327,juanur.mendoza@gmail.com,Sí,Muy importante,a) Empleado autónomo independiente.,1.Tenderá a crecer,3. Muy positivo,2.Falta de entrenamiento en los empleados,3. Mantendrá el mismo número de empleados,1,1,0,1,,,,2,1,,,,,.,,,.,,.,.,.,.,.,,Sí,Solidus,No,Por el momento no debido al tamaño de la empresa,,Educación media superior,Educación media superior,Educación media superior,Educación media superior,Educación media superior,Educación media superior,Educación media superior,"Supervisor del área de contabilidad, Coordinador de auditoria, Asesor fiscal y  contable",10,8,10,10,7,7,5,8,10,8
2/1/2023 21:04:51,"San Pablo Cuatro Venados, 01 de febrero, 2023",Santos Reyes,,San Pablo Cuatro Venados,9515486086,,No,Nada importante,a) Empleado autónomo independiente.,5. No sabe,3. Muy positivo,1.Competencia en los servicios,3. Mantendrá el mismo número de empleados,,,,,0,,,,,,,,0,,,,,,.,,,,,,No,Ninguna ,No,La verdad tengo un negocio pequeño,,,,,,,,,,,,,,,,,,1,
2/1/2023 21:49:00,San Juan Juquila Mixes a 01 de Febrero de 2023.,"Miscelania ""La Flor""",Local,"Domicilio conocido, San Juan Juquila Mixes",X,berecarlos2002@gmail.com,No,Importante,a) Empleado autónomo independiente.,5. No sabe,2. Más o menos positivo,1.Competencia en los servicios,1. Contratará personas especializadas en contaduría Pública,1,1,0,1,0,0,0,0,1,1,1,1,0,.,.,.,.,.,.,.,.,.,.,.,No,No utilizo ,No,Esta muy lejos,Educación media superior,Educación superior nivel Técnico,,,Educación superior nivel Técnico,,,Educación superior nivel Técnico,"Supervisor del área de contabilidad, Coordinador en el área de finanzas, Asesor fiscal y  contable",3,3,3,2,2,1,3,3,1,3
2/2/2023 7:20:30,Sola de vega oax.1 d febrero 2023,Farmacia cristo rey,Medicina y perfumeria,Reforma 8,9515740060,Mifarmaciacristorey@gmail.com,Sí,Muy importante,a) Empleado autónomo independiente.,2. Mantendrá estable su capital,3. Muy positivo,1.Competencia en los servicios,,0,1,0,0,0,,,,2,1,,,,.,.,.,.,.,.,.,.,.,.,,Sí,,,,,,,,,,,,,,,,,,,,,,
